mesh name,type,free boundary,flipping order,flip iteration,flips / start iterations,energy,time,hop
fig14_hencky.obj,3,1,greedy,10,1,0.000193324,9831,-1
fig14_hencky.obj,3,1,greedy,11,0,0.000193324,9832,-1
fig14_hencky.obj,3,1,random,0,-1,0.000193335,-1,-1
fig14_hencky.obj,3,1,random,1,78859,0.000193325,9548,-1
fig14_hencky.obj,3,1,random,2,17283,0.000193324,10025,-1
fig14_hencky.obj,3,1,random,3,2589,0.000193324,10079,-1
fig14_hencky.obj,3,1,random,4,274,0.000193324,10107,-1
fig14_hencky.obj,3,1,random,5,26,0.000193324,10149,-1
fig14_hencky.obj,3,1,random,6,0,0.000193324,10114,-1
fig14_hencky.obj,3,1,heuristic,0,-1,0.000193335,-1,-1
fig14_hencky.obj,3,1,heuristic,1,63036,0.000193328,10001,-1
fig14_hencky.obj,3,1,heuristic,2,23503,0.000193325,9997,-1
fig14_hencky.obj,3,1,heuristic,3,8716,0.000193324,10017,-1
fig14_hencky.obj,3,1,heuristic,4,2718,0.000193324,10019,-1
fig14_hencky.obj,3,1,heuristic,5,798,0.000193324,10000,-1
fig14_hencky.obj,3,1,heuristic,6,211,0.000193324,9995,-1
fig14_hencky.obj,3,1,heuristic,7,57,0.000193324,10017,-1
fig14_hencky.obj,3,1,heuristic,8,13,0.000193324,10044,-1
fig14_hencky.obj,3,1,heuristic,9,4,0.000193324,10020,-1
fig14_hencky.obj,3,1,heuristic,10,1,0.000193324,10008,-1
fig14_hencky.obj,3,1,heuristic,11,0,0.000193324,10020,-1
fig9.obj,2,0,edge order,0,-1,6.93543,-1,-1
fig9.obj,2,0,edge order,1,51408,6.93468,5898,-1
fig9.obj,2,0,edge order,2,11628,6.93455,6209,-1
fig9.obj,2,0,edge order,3,1330,6.93454,6239,-1
fig9.obj,2,0,edge order,4,91,6.93454,6260,-1
fig9.obj,2,0,edge order,5,2,6.93454,6240,-1
fig9.obj,2,0,edge order,6,0,6.93454,6266,-1
fig9.obj,2,0,greedy,0,-1,6.93543,-1,-1
fig9.obj,2,0,greedy,1,40875,6.93482,6336,-1
fig9.obj,2,0,greedy,2,15394,6.93464,6266,-1
fig9.obj,2,0,greedy,3,5763,6.93458,6321,-1
fig9.obj,2,0,greedy,4,1846,6.93455,6287,-1
fig9.obj,2,0,greedy,5,551,6.93454,6278,-1
fig9.obj,2,0,greedy,6,142,6.93454,6307,-1
fig9.obj,2,0,greedy,7,42,6.93454,6272,-1
fig9.obj,2,0,greedy,8,12,6.93454,6274,-1
fig9.obj,2,0,greedy,9,3,6.93454,6307,-1
fig9.obj,2,0,greedy,10,1,6.93454,6349,-1
fig9.obj,2,0,greedy,11,1,6.93454,6286,-1
fig9.obj,2,0,greedy,12,0,6.93454,6313,-1
fig9.obj,2,0,random,0,-1,6.93543,-1,-1
fig9.obj,2,0,random,1,51301,6.93467,6085,-1
fig9.obj,2,0,random,2,11252,6.93456,6363,-1
fig9.obj,2,0,random,3,1822,6.93454,6444,-1
fig9.obj,2,0,random,4,180,6.93454,6438,-1
fig9.obj,2,0,random,5,11,6.93454,6481,-1
fig9.obj,2,0,random,6,0,6.93454,6447,-1
fig9.obj,2,0,heuristic,0,-1,6.93543,-1,-1
fig9.obj,2,0,heuristic,1,40875,6.93482,6445,-1
fig9.obj,2,0,heuristic,2,15394,6.93464,6356,-1
fig9.obj,2,0,heuristic,3,5763,6.93458,6399,-1
fig9.obj,2,0,heuristic,4,1846,6.93455,6390,-1
fig9.obj,2,0,heuristic,5,551,6.93454,6406,-1
fig9.obj,2,0,heuristic,6,142,6.93454,6431,-1
fig9.obj,2,0,heuristic,7,42,6.93454,6387,-1
fig9.obj,2,0,heuristic,8,12,6.93454,6382,-1
fig9.obj,2,0,heuristic,9,3,6.93454,6392,-1
fig9.obj,2,0,heuristic,10,1,6.93454,6392,-1
fig9.obj,2,0,heuristic,11,1,6.93454,6392,-1
fig9.obj,2,0,heuristic,12,0,6.93454,6411,-1
fig9.obj,3,0,edge order,0,-1,0.652418,-1,-1
fig9.obj,3,0,edge order,1,55242,0.651663,5842,-1
fig9.obj,3,0,edge order,2,13100,0.651537,6128,-1
fig9.obj,3,0,edge order,3,1561,0.651524,6216,-1
fig9.obj,3,0,edge order,4,117,0.651524,6215,-1
fig9.obj,3,0,edge order,5,3,0.651524,6221,-1
fig9.obj,3,0,edge order,6,0,0.651524,6231,-1
fig9.obj,3,0,greedy,0,-1,0.652418,-1,-1
fig9.obj,3,0,greedy,1,43500,0.651805,6306,-1
fig9.obj,3,0,greedy,2,16917,0.651628,6241,-1
