mesh_name,type,is_free_boundary,flipping_order,iteration,is_flip,int_energy,ext_energy,conformal_min,conformal_max,isometric_min,conformal_min_int,conformal_max_int,isometric_min_int,isometric_max,auhalic_min,authalic_max,isometric_max_int,auhalic_min_int,authalic_max_int,ext_flip_percentage,ext_max_area_dist,ext_avg_area_err,ext_max_angle_dist,ext_avg_angle_error,int_flip_percentage,int_max_area_dist,int_avg_area_err,int_max_angle_dist,int_avg_angle_error,time
fig14_hencky.obj,3,0,greedy,41,0,1.00038,1.01219,0.000537289,12.2366,0.291973,0.00291641,6.82832,0.383159,7.58827,7.17615e-05,27.1854,3.48684,2.48068e-05,43.2837,0.288851,12.2441,430.985,416599,666.439,0.290183,-1.99685,430.985,397769,28552.3,104412
fig14_hencky.obj,3,0,greedy,42,1,1.00038,1.01219,0.000537289,12.2366,0.291973,1.86698e-07,1.4077,0.999865,7.58827,7.17615e-05,27.1854,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00341758,39.6573,288.283,11434.7,1119.92,38050
fig14_hencky.obj,3,0,greedy,43,0,1.00035,1.01216,0.000658502,12.4636,0.29238,0.00199905,6.8272,0.382792,7.74869,0.000111087,27.0895,3.48644,0.00238619,43.2654,0.288716,12.323,430.985,164976,666.5,0.290035,-1.99702,430.985,2.56942e+06,28553.1,115879
fig14_hencky.obj,3,0,greedy,44,1,1.00035,1.01216,0.000658502,12.4636,0.29238,1.86698e-07,1.4077,0.999865,7.74869,0.000111087,27.0895,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00342432,39.6573,288.283,11434.7,1119.95,44218
fig14_hencky.obj,3,0,greedy,45,0,1.00033,1.01213,0.000835527,12.6664,0.292628,0.00114211,6.82385,0.383003,7.89243,0.000146278,27.0183,3.48485,0.0104805,43.1923,0.288652,12.3989,430.985,198914,666.556,0.289846,-1.99718,430.985,130988,28556.1,99787
fig14_hencky.obj,3,0,greedy,46,1,1.00032,1.01213,0.000835527,12.6664,0.292628,1.86698e-07,1.4077,0.999865,7.89243,0.000146278,27.0183,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00342432,39.6573,288.283,11434.7,1119.94,35776
fig14_hencky.obj,3,0,greedy,47,0,1.0003,1.0121,0.00103546,12.8508,0.293215,0.00138485,6.81695,0.383954,8.02312,0.000174497,26.9702,3.48168,0.0240799,43.047,0.288608,12.4678,430.986,414507,666.63,0.289745,-1.99735,430.986,93737.1,28560.1,99547
fig14_hencky.obj,3,0,greedy,48,1,1.0003,1.0121,0.00103546,12.8508,0.293215,1.86698e-07,1.4077,0.999865,8.02312,0.000174497,26.9702,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00341083,39.6573,288.283,11434.7,1120.14,36406
fig14_hencky.obj,3,0,greedy,49,0,1.00028,1.01207,0.00124422,13.0263,0.294131,0.00241559,6.81033,0.385475,8.14761,0.000203231,26.9373,3.47844,0.0427034,42.8992,0.288507,12.5297,430.986,247920,666.697,0.289728,-1.99751,430.986,62247,28562.1,105480
fig14_hencky.obj,3,0,greedy,50,1,1.00028,1.01207,0.00124422,13.0263,0.294131,1.86698e-07,1.4077,0.999865,8.14761,0.000203231,26.9373,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00341758,39.6573,288.283,11434.7,1120.26,35405
fig14_hencky.obj,3,0,greedy,51,0,1.00026,1.01205,0.00145424,13.1952,0.295321,0.00294657,6.80202,0.387175,8.26732,0.000222392,26.9222,3.47444,0.0656699,42.7173,0.288412,12.582,430.986,369369,666.771,0.2896,-1.99767,430.986,93521.3,28558.4,108919
fig14_hencky.obj,3,0,greedy,52,1,1.00026,1.01205,0.00145424,13.1952,0.295321,1.86698e-07,1.4077,0.999865,8.26732,0.000222392,26.9222,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.0034277,39.6573,288.283,11434.7,1120.47,54196
fig14_hencky.obj,3,0,greedy,53,0,1.00024,1.01202,0.00166135,13.3589,0.296645,0.00289411,6.79281,0.388944,8.38322,0.000244986,26.9224,3.46997,0.0922229,42.5147,0.288355,12.6288,430.986,1.29387e+09,666.832,0.289526,-1.99782,430.986,47455.2,28562.2,174536
fig14_hencky.obj,3,0,greedy,54,1,1.00024,1.01202,0.00166135,13.3589,0.296645,1.86698e-07,1.4077,0.999865,8.38322,0.000244986,26.9224,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00343107,39.6573,288.283,11434.7,1120.55,55138
fig14_hencky.obj,3,0,greedy,55,0,1.00022,1.012,0.00186205,13.5186,0.298277,0.00284185,6.78249,0.388472,8.49634,0.000141844,26.9223,3.46497,0.121339,42.2888,0.28825,12.6668,430.987,99380.5,666.899,0.289495,-1.99796,430.987,59281.5,28559.3,153949
fig14_hencky.obj,3,0,greedy,56,1,1.00022,1.012,0.00186205,13.5186,0.298277,1.86698e-07,1.4077,0.999865,8.49634,0.000141844,26.9223,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00343107,39.6573,288.283,11434.7,1120.79,69209
fig14_hencky.obj,3,0,greedy,57,0,1.0002,1.01198,0.00181636,13.6739,0.298905,0.00279258,6.7709,0.390945,8.60632,2.36185e-05,26.9287,3.45931,0.152329,42.0343,0.288196,12.6967,430.987,1.45748e+06,666.944,0.289397,-1.99809,430.987,1.45748e+06,28562.7,160395
fig14_hencky.obj,3,0,greedy,58,1,1.0002,1.01198,0.00181636,13.6739,0.298905,1.86698e-07,1.4077,0.999865,8.60632,2.36185e-05,26.9287,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00343107,39.6573,288.283,11434.7,1120.8,55642
fig14_hencky.obj,3,0,greedy,59,0,1.00019,1.01196,0.00168857,13.8253,0.293295,0.00276796,6.75814,0.393576,8.71355,4.64213e-06,26.9416,3.45307,0.178741,41.7552,0.288129,12.7179,430.987,430227,666.987,0.289242,-1.99819,430.987,1.81814e+06,28563,171588
fig14_hencky.obj,3,0,greedy,60,1,1.00019,1.01196,0.00168857,13.8253,0.293295,1.86698e-07,1.4077,0.999865,8.71355,4.64213e-06,26.9416,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00342432,39.6573,288.283,11434.7,1120.86,41050
fig14_hencky.obj,3,0,greedy,61,0,1.00018,1.01195,0.00156228,13.9733,0.287258,0.00271036,6.74423,0.396341,8.81841,8.36737e-05,26.9599,3.44626,0.177198,41.4522,0.288119,12.7318,430.987,1.74956e+06,667.041,0.289185,-1.99818,430.987,1.74956e+06,28563.7,159484
fig14_hencky.obj,3,0,greedy,62,1,1.00017,1.01195,0.00156228,13.9733,0.287258,1.86698e-07,1.4077,0.999865,8.81841,8.36737e-05,26.9599,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.0034277,39.6573,288.283,11434.7,1121.02,38692
fig14_hencky.obj,3,0,greedy,63,0,1.00016,1.01193,0.00144447,14.1177,0.282378,0.00264775,6.7293,0.399481,8.92071,0.000202402,26.9742,3.43894,0.175696,41.1282,0.288014,12.7406,430.988,139164,667.1,0.289063,-1.99818,430.988,242728,28561.9,131695
fig14_hencky.obj,3,0,greedy,64,1,1.00016,1.01193,0.00144447,14.1177,0.282378,1.86698e-07,1.4077,0.999865,8.92071,0.000202402,26.9742,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00342432,39.6573,288.283,11434.7,1121.09,69111
fig14_hencky.obj,3,0,greedy,65,0,1.00015,1.01192,0.00133601,14.2588,0.277362,0.0025939,6.71311,0.402913,9.02062,0.000289968,27.002,3.43098,0.174256,40.7784,0.287947,12.7451,430.988,74157.7,667.15,0.288993,-1.99817,430.988,230365,28561,173634
fig14_hencky.obj,3,0,greedy,66,1,1.00015,1.01192,0.00133601,14.2588,0.277362,1.86698e-07,1.4077,0.999865,9.02062,0.000289968,27.002,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.0034277,39.6573,288.283,11434.7,1121.2,85906
fig14_hencky.obj,3,0,greedy,67,0,1.00014,1.0119,0.00123603,14.3966,0.271819,0.00254946,6.69452,0.406684,9.11822,0.000310852,27.0276,3.42192,0.172886,40.3829,0.287903,12.7911,430.988,82011.6,667.199,0.288912,-1.99817,430.988,62811.2,28563.6,153793
fig14_hencky.obj,3,0,greedy,68,1,1.00014,1.0119,0.00123603,14.3966,0.271819,1.86698e-07,1.4077,0.999865,9.11822,0.000310852,27.0276,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00343444,39.6573,288.283,11434.7,1121.28,68833
fig14_hencky.obj,3,0,greedy,69,0,1.00013,1.01189,0.00114885,14.5335,0.265526,0.00251326,6.67644,0.410829,9.21532,0.00032881,27.0603,3.41299,0.171549,39.996,0.287883,12.848,430.989,1.88457e+06,667.251,0.288797,-1.99816,430.989,299277,28563.7,156737
fig14_hencky.obj,3,0,greedy,70,1,1.00013,1.01189,0.00114885,14.5335,0.265526,1.86698e-07,1.4077,0.999865,9.21532,0.00032881,27.0603,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00343107,39.6573,288.283,11434.7,1121.27,53408
fig14_hencky.obj,3,0,greedy,71,0,1.00012,1.01188,0.00106622,14.676,0.259052,0.00248336,6.65399,0.415339,9.31634,0.00035115,27.095,3.40215,0.170247,39.5303,0.287832,12.9045,430.989,222214,667.288,0.288726,-1.99816,430.989,932917,28562,164151
fig14_hencky.obj,3,0,greedy,72,1,1.00012,1.01188,0.00106622,14.676,0.259052,1.86698e-07,1.4077,0.999865,9.31634,0.00035115,27.095,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00342432,39.6573,288.283,11434.7,1121.37,54870
