mesh name,type,free boundary,flipping order,flip iteration,flips / start iterations,energy,time
fig9.obj,2,0,heuristic,6,142,6.93454,6431
fig9.obj,2,0,heuristic,7,42,6.93454,6387
fig9.obj,2,0,heuristic,8,12,6.93454,6382
fig9.obj,2,0,heuristic,9,3,6.93454,6392
fig9.obj,2,0,heuristic,10,1,6.93454,6392
fig9.obj,2,0,heuristic,11,1,6.93454,6392
fig9.obj,2,0,heuristic,12,0,6.93454,6411
fig9.obj,3,0,start,0,-1,0.652418,-1
fig9.obj,3,0,edge order,1,55242,0.651663,5842
fig9.obj,3,0,edge order,2,13100,0.651537,6128
fig9.obj,3,0,edge order,3,1561,0.651524,6216
fig9.obj,3,0,edge order,4,117,0.651524,6215
fig9.obj,3,0,edge order,5,3,0.651524,6221
fig9.obj,3,0,edge order,6,0,0.651524,6231
fig9.obj,3,0,greedy,1,43500,0.651805,6306
fig9.obj,3,0,greedy,2,16917,0.651628,6241
fig9.obj,3,0,greedy,3,6676,0.651563,6232
fig9.obj,3,0,greedy,4,2181,0.651537,6243
fig9.obj,3,0,greedy,5,688,0.651528,6241
fig9.obj,3,0,greedy,6,187,0.651524,6246
fig9.obj,3,0,greedy,7,60,0.651524,6232
fig9.obj,3,0,greedy,8,19,0.651524,6229
fig9.obj,3,0,greedy,9,2,0.651524,6272
fig9.obj,3,0,greedy,10,1,0.651524,6250
fig9.obj,3,0,greedy,11,1,0.651524,6445
fig9.obj,3,0,greedy,12,1,0.651524,6434
fig9.obj,3,0,greedy,13,0,0.651524,6420
fig9.obj,3,0,random,1,55096,0.651659,6154
fig9.obj,3,0,random,2,12649,0.651549,6451
fig9.obj,3,0,random,3,2118,0.651527,6537
fig9.obj,3,0,random,4,259,0.651524,6536
fig9.obj,3,0,random,5,21,0.651524,6551
fig9.obj,3,0,random,6,0,0.651524,6533
fig9.obj,3,0,heuristic,1,43500,0.651805,6545
fig9.obj,3,0,heuristic,2,16917,0.651628,6475
fig9.obj,3,0,heuristic,3,6676,0.651563,6491
fig9.obj,3,0,heuristic,4,2181,0.651537,6510
fig9.obj,3,0,heuristic,5,688,0.651528,6529
fig9.obj,3,0,heuristic,6,187,0.651524,6505
fig9.obj,3,0,heuristic,7,60,0.651524,6510
fig9.obj,3,0,heuristic,8,19,0.651524,6501
fig9.obj,3,0,heuristic,9,2,0.651524,6498
fig9.obj,3,0,heuristic,10,1,0.651524,6514
